                    _______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
                   | Nomination_Chirac1.txt          | Nomination_Chirac2.txt          | Nomination_Giscard dEstaing.txt | Nomination_Hollande.txt         | Nomination_Macron.txt           | Nomination_Mitterrand1.txt      | Nomination_Mitterrand2.txt      | Nomination_Sarkozy.txt          |
| sens             | 0.3010299956639812              | 0                               | 0                               | 0.6020599913279624              | 0.6020599913279624              | 0                               | 0.3010299956639812              | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| dépositaire      | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| une              | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| espérance        | 0.4259687322722811              | 0                               | 0                               | 0                               | 0                               | 0                               | 0.4259687322722811              | 0.4259687322722811              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| élection         | 0.6020599913279624              | 0                               | 0                               | 0                               | 0.6020599913279624              | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| présidentielle   | 0.4259687322722811              | 0.4259687322722811              | 0                               | 0                               | 0.4259687322722811              | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| n                | 0.11598389395537347             | 0                               | 0.11598389395537347             | 0.11598389395537347             | 0.2899597348884337              | 0.23196778791074693             | 0.2899597348884337              | 1.0438550455983613              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| a                | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
